Model_Original,Brand,Year_Extracted,Screen_Size_Extracted,Weight_kg,Energy_kWh_Year,Repair_Score,Eco_Score_Target
iPad (9th generation) Wi-Fi + Cellular with 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.05
iPad (9th generation) Wi-Fi + Cellular with 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.05
iPad Air (5th generation) with 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,73.65
iPad mini (6th generation) with 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.61
iPad Pro 11-inch (4th generation) with 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,72.05
iPad Pro 12,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,69.25
iPhone 11 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,73.89
iPhone 11 256GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,72.93
iPhone 11 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.29
iPhone 12 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.05
iPhone 12 256GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,73.25
iPhone 12 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.45
iPhone 13 mini with 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,75.17
iPhone 13 Pro 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.53
iPhone 13 Pro 1TB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,71.09
iPhone 13 Pro 256GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,73.97
iPhone 13 Pro 512GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,73.01
iPhone 13 Pro Max 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.13000000000001
iPhone 13 Pro Max 1TB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,70.69
iPhone 13 Pro Max 256GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,73.57000000000001
iPhone 13 Pro Max 512GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,72.61
iPhone 13 with 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.93
iPhone 14 Plus with 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.61
iPhone 14 Pro Max with 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.21000000000001
iPhone 14 Pro with 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.85000000000001
iPhone 14 with 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,75.17
iPhone 8 256GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.37
iPhone 8 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,75.49
iPhone SE - Gen 2 128GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,75.09
iPhone SE - Gen 2 256GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,74.21000000000001
iPhone SE - Gen 2 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,75.49
iPhone SE (3rd generation) with 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,76.37
Mac mini (M1 2020) with 256GB,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,60.239999999999995
Mac mini with M2 with 256GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,71.09
Mac Pro (2.5GHz 28-core CPU and Radeon Pro Vega II Duo GPU and Afterburner card) with 1.5TB memory 4TB storage - 2019,Apple,2019.0,14.0,4.1344562068965525,30.0,6.0,34.0
Mac Pro (3.5GHz 8-core CPU and Radeon Pro 580X GPU) with 32GB memory 256GB storage - 2019,Apple,2019.0,14.0,4.1344562068965525,30.0,6.0,34.0
Mac Pro 3,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,40.05
Mac Studio with Apple M1 Max 32GB memory and 512GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,59.09
MacBook Air (M1 2020) with 256GB,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,61.120000000000005
MacBook Air (M2 2022) with 256GB,Apple,2022.0,14.0,4.1344562068965525,30.0,6.0,62.239999999999995
MacBook Pro (M2 2022) with 256GB,Apple,2022.0,14.0,4.1344562068965525,30.0,6.0,60.64
Pro Display XDR with Pro Stand,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,40.05
Mini PC PB60,Asus,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,58.05
Notebook C423,Asus,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,71.01
AW2518H Monitor,Dell,2021.0,14.0,11.06,9.833333333333334,6.0,40.05
AW2518HF Monitor,Dell,2021.0,14.0,11.06,9.833333333333334,6.0,40.05
AW3418DW Monitor,Dell,2021.0,14.0,18.791,9.833333333333334,6.0,40.05
AW3418HW Monitor,Dell,2021.0,14.0,18.361,9.833333333333334,6.0,40.05
C1422H Monitor,Dell,2021.0,14.0,0.59,9.833333333333334,6.0,44.69
C2422HE Monitor (without stand),Dell,2021.0,14.0,4.33,9.833333333333334,6.0,40.05
C2422HE Monitor,Dell,2021.0,14.0,6.12,9.833333333333334,6.0,40.05
C2423H Monitor,Dell,2021.0,14.0,5.59,9.833333333333334,6.0,40.05
C2722DE Monitor,Dell,2021.0,14.0,8.8,9.833333333333334,6.0,40.05
C2723H Monitor,Dell,2021.0,14.0,6.8,9.833333333333334,6.0,40.05
C3422WE Monitor,Dell,2021.0,14.0,10.8,9.833333333333334,6.0,40.05
C5519Q Monitor,Dell,2021.0,14.0,20.5,9.833333333333334,6.0,40.05
C5522QT Monitor,Dell,2021.0,14.0,42.0,9.833333333333334,6.0,40.05
C6522QT Monitor,Dell,2021.0,14.0,44.2,9.833333333333334,6.0,40.05
C7520QT Monitor,Dell,2021.0,14.0,64.0,9.833333333333334,6.0,40.05
C8618QT Monitor,Dell,2021.0,14.0,123.0,9.833333333333334,6.0,40.05
Chromebook 3100 2-in-1,Dell,2021.0,14.0,1.6,9.833333333333334,6.0,53.25
Chromebook 3100,Dell,2021.0,14.0,1.4,9.833333333333334,6.0,58.769999999999996
D7523QT Monitor,Dell,2021.0,14.0,57.02,9.833333333333334,6.0,40.05
E1715S Monitor,Dell,2021.0,14.0,3.494,9.833333333333334,6.0,53.25
E1916H Monitor,Dell,2021.0,14.0,3.02,9.833333333333334,6.0,45.410000000000004
E1916HE Monitor,Dell,2021.0,14.0,3.775,9.833333333333334,6.0,47.97
E1916HV Monitor,Dell,2021.0,14.0,4.0244,9.833333333333334,6.0,47.57
E1920H Monitor,Dell,2021.0,14.0,2.624,9.833333333333334,6.0,51.89
E2016H Monitor,Dell,2016.0,14.0,3.91,30.0,6.0,40.160000000000004
E2016HV Monitor,Dell,2016.0,14.0,3.68,30.0,6.0,39.92
E2020H Monitor,Dell,2020.0,14.0,2.63,30.0,6.0,41.92
E2216H Monitor,Dell,2021.0,14.0,4.574,9.833333333333334,6.0,44.769999999999996
E2216HV Monitor,Dell,2021.0,14.0,4.015,9.833333333333334,6.0,44.85
E2218HN Monitor,Dell,2021.0,14.0,4.574,9.833333333333334,6.0,44.21000000000001
E2219HN Monitor,Dell,2021.0,14.0,2.183,9.833333333333334,6.0,51.17
E2220H Monitor,Dell,2021.0,14.0,3.1,9.833333333333334,6.0,47.17
E2221HN Monitor,Dell,2021.0,14.0,3.108,9.833333333333334,6.0,47.17
E2222H Monitor,Dell,2021.0,14.0,2.59,9.833333333333334,6.0,41.25
E2222HS Monitor,Dell,2021.0,14.0,3.37,9.833333333333334,6.0,40.05
E2223HN Monitor,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,40.21000000000001
E2223HV Monitor,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,40.21000000000001
E2316H Monitor,Dell,2021.0,14.0,5.062,9.833333333333334,6.0,43.33
E2318H Monitor,Dell,2021.0,14.0,5.025,9.833333333333334,6.0,42.93000000000001
E2318HN Monitor,Dell,2021.0,14.0,5.025,9.833333333333334,6.0,42.93000000000001
E2417H Monitor,Dell,2021.0,14.0,5.77,9.833333333333334,6.0,40.370000000000005
E2420H Monitor,Dell,2021.0,14.0,4.27,9.833333333333334,6.0,45.57
E2421HN Monitor,Dell,2021.0,14.0,3.774,9.833333333333334,6.0,43.25
E2422H Monitor,Dell,2021.0,14.0,3.54,9.833333333333334,6.0,43.730000000000004
