Device_Name,Energy_Consumption_kWh,Recycled_Percentage,RoHS_Compliant,Screen_Size_Inch,Weight_Kg,RAM_GB,Storage_GB,CPU_Score,Eco_Score
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 5G (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro 360 (96*QFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (94*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Pro (96*XFG),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book3 Ultra (96*XFH),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 360 (75*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 (75*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (75*XQA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (94*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Edge (96*XMB),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro 360 (96*QGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (94*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Pro (96*XGK),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book4 Ultra (96*XGL),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro 360 (96*QHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (94*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro (96*XHA),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Book5 Pro H (96*XHD),26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
Galaxy Chromebook 2 360,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
